OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
80,E08000022,North Tyneside, ,431471,570602,-1.50923,55.028961,{65CFE702-8C79-48B5-BF58-09F69938DF55},65347.6718882176,82311584.9263394
81,E08000023,South Tyneside, ,435514,564057,-1.44679,54.969879,{0DDF42F7-37A7-4973-A6DA-36C3FA6472BF},51335.2667794196,64420348.6388854
82,E08000024,Sunderland, ,436470,551524,-1.43344,54.857189,{A9467211-04BA-4E45-8137-753D24DA0FEE},99824.6252634884,137436258.072006
83,E08000025,Birmingham, ,408150,287352,-1.88141,52.484039,{2E113B6C-E0AB-4D8E-A550-A97E8F69F4D4},106260.619497994,267791058.7982
84,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,{ECCBCC36-4688-48AC-8708-52DBBFAE1A0D},54057.1910587664,98639060.6570548
85,E08000027,Dudley, ,393191,288584,-2.1017101,52.495129,{CD57237E-17EE-4D6A-BE08-B238A7915024},75382.2802756355,97958243.3410325
86,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,{6509AE03-4863-4C9A-8A26-1558A9D3379E},59211.0011310175,85558927.8995642
87,E08000029,Solihull, ,419434,281483,-1.71558,52.431,{2E693C0E-43FF-4862-A5B7-D25F0254D115},101031.275128473,178282117.055431
88,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,{2F84E85D-A527-4EE1-AFF0-11F48BB2A3DF},59401.1794285966,103973538.346297
89,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,{51105DEE-168E-45C9-93EA-670526B27AA4},56054.7886611398,69436709.4774898
90,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,{7B34C3C1-C2BA-429F-B338-22BAAC6A8342},135920.365236872,366419745.436529
91,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,{5D026EE0-846C-4E41-98EA-343700A88D07},107687.187293662,363960992.684863
92,E08000034,Kirklees, ,414586,416223,-1.7808501,53.64233,{7E3A7BBD-3DA5-49FC-8627-E9471CA6D0EC},125668.277769938,408551660.797515
93,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,{08EBE36D-F86A-46FE-BB67-F10136C01D63},161521.735517059,551706535.832653
94,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,{C328DAD4-A003-48DE-8387-FB62E449738B},109447.28637914,338619733.848031
95,E08000037,Gateshead, ,420159,559652,-1.68694,54.931149,{A712C260-14BE-4A40-A645-89A16DDF2976},89794.0623720492,142354807.58406
96,E09000001,City of London, ,532382,181358,-0.093510002,51.51564,{B220796C-5A53-44B7-A9BE-0FB650B33E60},9404.60040928951,2889678.8227915
97,E09000002,Barking and Dagenham, ,547757,185111,0.12947901,51.545551,{340829E3-4447-45E3-B5CE-EF5BA3BB75CD},40903.0061195045,36101367.4379851
98,E09000003,Barnet, ,523473,191752,-0.21819,51.611069,{36C5A782-16F4-49DE-B5A5-1246A822B01C},50937.7781770676,86766703.236342
