OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,{EEFB42E0-9979-4303-9917-1D3364982408},70995.7229330668,93717029.9070697
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,{B8A77CFA-17EF-4FE7-92A5-68D9533C10D4},44481.4413849518,53881562.628025
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,{486A45E7-43F9-4E0A-98FD-DA1E176F8B1D},96704.0315253802,245069509.42357
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,{075F3C25-FC99-4B02-8702-3DDFA5CDE250},123408.788095676,204932952.708987
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,{5ABD4616-AD3F-492E-92D2-A282AC3B937B},107203.152334417,197477768.128264
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,{0D7E328B-E1D2-429E-8A17-399A42602C48},77770.9338001437,79084032.6157127
7,E06000007,Warrington, ,362744,388456,-2.5616701,53.391628,{BDDEB809-11BE-47E7-9D1A-BCDD0BF318E0},114690.686845761,180627982.923395
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4635999,53.700802,{51CA7A3E-94C1-45C7-972D-8DEDB1DF86F2},65284.9523177377,137022079.422086
9,E06000009,Blackpool, ,332819,436635,-3.0219901,53.82164,{2CC3B7F0-A3F0-494A-B7F9-6200D5215797},34483.4799655354,34870886.4500427
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382001,53.769199,{78C7161F-AF5A-4C9F-A73A-1CA88F2C4E6D},64681.104078276,71583611.1153285
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66194999,53.881119,{83A83FCC-81E9-44B5-A7FB-236A5995E452},504081.639206161,2404771586.81277
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,{EEB1C788-D7EA-4C5F-8D25-38FD22FAB5C3},93248.4865198867,192622955.911922
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407002,53.58643,{71B6CE2A-112D-4D63-877B-CC7206F7A66A},244547.837491271,846540130.358074
14,E06000014,York, ,460864,452589,-1.07375,53.96582,{A0A62463-2725-4A08-BB2D-FFA1F0BFB7E8},101947.387733639,271931825.229475
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,{EF386377-6F32-46D6-A129-1725913B08C0},50037.5273504427,78031123.6712438
16,E06000016,Leicester, ,458946,304594,-1.1303999,52.635921,{E6010B87-81AF-47CE-8549-DC00E04A24C2},51931.7073368346,73342071.6979175
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.667648,{A5770E54-6B6C-4641-8920-F17DFF2D315E},125884.932019303,393748906.930668
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,{786D0104-CF96-4509-95AA-E6B52CD4DEE0},58724.0327675763,74613555.3419195
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,{107882B5-CA63-4D81-A3D9-417B6634CE2D},349889.259975133,2179709442.72887
20,E06000020,Telford and Wrekin, ,367035,313057,-2.4894099,52.714169,{F8900146-39E6-49CC-A794-AAC47DFCA69F},118779.656757853,290313543.52614
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,{97E84285-F721-4561-AD26-F9F8F6E7D910},63974.4506512752,93448482.2059361
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.4865401,51.356041,{E4716FC1-8F8D-4BA7-9812-AF1B92C71C30},141684.569708065,351123212.497847
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,{79507A7B-E091-4F7F-91FB-E6F68662D1C3},108825.701912383,109666791.49649
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,{6C4719C9-982C-4CEF-BD35-66354BED772E},154770.171247745,374637225.937623
25,E06000025,South Gloucestershire, ,367559,183198,-2.4692199,51.54673,{B7177C08-3568-4C5C-BD1B-87B864B9371E},142552.756769388,497050934.271039
26,E06000026,Plymouth, ,249945,58255,-4.1129699,50.404942,{44E81854-5CDA-4A38-AADA-66D8BE15FDCE},92645.2859471131,79849713.8688557
27,E06000027,Torbay, ,289730,64613,-3.5552299,50.470921,{2641ABB1-22CD-4DC3-816C-DB1F69C8BCCE},77910.7009953357,62886694.4637875
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,{49F94AE8-ABEB-4406-90EF-0B65089669AF},103014.619569825,230093376.535084
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,{1CC15B7F-DAC7-4D66-98CF-E844E31E95D0},112677.967206289,343378156.971801
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,{E07622E6-B451-4AA9-9A54-2323A2EF52FF},34569.6026266023,43352491.4351069
31,E06000033,Southend-on-Sea, ,587777,186837,0.70692301,51.549171,{30722AEB-FC89-45FA-9F6A-DD4295905100},57783.2533781421,41673935.680161
32,E06000034,Thurrock, ,562123,181590,0.33486101,51.509979,{8F804DB6-7424-48A4-BF08-1FA233228CEB},115992.128205902,163837050.322348
33,E06000035,Medway, ,578207,175198,0.56317401,51.44772,{6A346DFA-AC8A-481F-9384-CC949CC742A9},249514.824763326,193714249.225409
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,{82598D79-57B4-4913-B51E-367AF842B591},62507.9039338433,109384214.697573
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,{961AEC44-58FF-4F1F-B380-D2BF9F041415},166801.583097447,704169399.468773
36,E06000038,Reading, ,470226,173154,-0.99071002,51.453018,{336DDFEA-46AC-4DB7-94FB-B6F3CE6A7996},39330.6369676029,40397992.5605403
37,E06000039,Slough, ,498920,179246,-0.57617003,51.503502,{DEC38D90-3207-4298-8D8C-263B37077E37},44181.393234306,32542009.0509408
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.480339,{FF8A01F9-9540-4A1D-9E39-F41ED42EB6CC},114829.071707676,198427168.80584
39,E06000041,Wokingham, ,476624,169902,-0.89934999,51.422958,{5FBAE92B-38D8-4FBB-9222-8D14F51ACA9D},86865.5899032162,178965482.695848
